repo,commit_hash,file_path,is_buggy,loc,sloc,avg_complexity,max_complexity,maintainability_index,num_contributors,num_commits,num_bug_fixes,file_age_commits,recent_changes,lines_added,lines_deleted
click,a25bf130,click/utils.py,1,40,27,2.25,3,56.47,2,19,4,37,1,25,0
click,d5e2fbf6,click/core.py,0,1006,589,3.05,21,13.05,2,62,15,38,2,14,21
click,d5e2fbf6,click/parser.py,0,275,189,5.29,14,46.06,1,15,1,0,0,36,103
click,373d92d6,click/core.py,0,1024,587,3.07,21,13.32,2,62,15,39,2,55,37
click,373d92d6,click/decorators.py,0,265,123,1.54,5,65.72,3,14,2,39,1,1,1
click,373d92d6,click/formatting.py,0,183,135,2.11,6,47.25,2,15,3,39,1,2,2
click,97b505ce,click/__init__.py,0,60,26,0.0,0,100.0,1,23,0,40,1,6,0
click,97b505ce,click/formatting.py,0,224,137,2.05,6,54.99,2,15,3,40,1,60,19
click,75aeb7c3,click/parser.py,0,256,171,5.23,10,48.88,1,15,1,3,0,9,28
click,2a2c4f4a,click/formatting.py,1,227,140,2.1,6,54.34,2,15,3,56,1,1,1
click,db9a9c22,click/core.py,0,1036,593,3.05,21,13.11,2,62,15,57,2,13,1
click,2e8354a8,click/core.py,0,1014,572,2.98,21,14.81,2,62,15,58,2,9,31
click,e77783dc,click/core.py,1,1037,591,3.02,26,13.85,2,62,15,73,2,22,1
click,e77783dc,docs/clickdoctools.py,1,256,209,2.08,8,31.88,1,5,2,79,3,2,3
